taxa 13_FC_Irr 13_FC_Dry 12_Gr_Irr 12_Gr_Dry
HEYNE 113.22 71.83 129.37 94.25
HONDO 122.52 66.27 164.11 70.47
JAGALENE 123.81 79.74 162.74 79.55
KS00F5-20-3 117.65 85.99 150.16 91.35
KEOTA 132.71 74.57 139.54 92.51
KIOWA 131.44 71.94 130.54 87.25
KIRWIN 122.37 71.82 159.66 75.04
LINDON 121.03 72.82 126.63 80.58
LONGHORN 110.66 78.34 173.74 88.25
NEOSHO 113.1 71.62 204.16 93.05
NUFRONTIER 129.89 80.39 168.67 86.61
NUHORIZON 124.54 69.32 169.46 97.22
GALLAGHER 115.08 80.75 166.54 76.5
OK07231 144.19 81.34 187.9 98.1
OK07S117 114.66 69.14 143.29 76.08
OK08328 107.42 70.52 154.67 91.72
OK09634 119.48 77.29 191.19 91.02
OK10119 125.18 80.06 156.28 87.95
OK1067071 113 71.73 120.82 86.02
OK1067274 125.4 67.12 115.17 94.94
OK1068002 112.31 77.7 170.63 77.88
OK1068009 118.13 71.34 155.99 75.26
OK1068026 126.63 74.71 188.13 97
OK1068112 124.9 77.3 165.5 94.8
OK1070267 127.93 79.35 65.85 87.54
OK1070275 116.93 74.43 136.04 81.3
OK_RISING 113.25 71.67 163.53 77.44
OGALLALA 117.5 77.38 194.58 95.19
ONAGA 119.45 66.36 153.37 77.43
OVERLAND 122.33 89.91 165.41 90.35
PARKER 111.63 66.34 155.36 89.67
PETE 108.22 74.93 140.35 88.71
RONL 112.28 72.56 192.88 86.73
SAGE 120.26 76.4 172.19 83.62
SETTLER_CL 122.61 72.84 164.2 95.85
SHAWNEE 117.18 70.46 125.09 85.6
TAM105 129.83 74.03 214.37 103.73
TX05A001188 126.03 62.91 145.65 84.4
TX05A001822 108.9 80.26 207.41 98.21
TX05V7259 116.07 82.37 152.45 95.53
TX05V7269 128.95 68.35 197.32 98.54
TX06A001132 110.88 84.47 194.41 101.37
TX06A001263 118.73 74.35 173.65 94.41
TX06A001281 111.1 74.71 162.77 89.63
TX06A001386 116.44 76.21 191.28 91.67
TX06V7266 113.63 70.95 205.89 108.42
TX07A001279 127.9 69.87 187.06 105.24
TX07A001318 127.3 83.46 193.08 109.59
TX07A001420 122.57 66.23 165.86 78.17
TASCOSA 117.98 71.94 99.63 89.09
THUNDER_CL 131.56 67.45 139.53 88.52
THUNDERBOLT 131.74 74.79 164.53 80.21
TRISON 123.75 71.68 122.33 74.2
VENANGO 123.13 79.07 195.79 100.46
W04-417 127.24 78.2 170.79 93.82
WB411W 112.28 76.62 156.85 94.92
